"CAS番号","物質名","安衛法","皮膚等障害","がん原性","濃度基準値","安衛法危険物","特化則","特別管理物質","有機則","鉛則","粉じん則","化管法","毒劇法","消防法品名","化審法","大防法","水濁法有害物質","土対法","女性則","備考","出所"
"540-59-0","1,2-ジクロロエチレン","対象物","","","","該当","","","第1種","","","要確認","","第4類 第1石油類 非水溶性","","VOC","","","","二塩化アセチレン","内蔵"
"75-15-0","二硫化炭素","対象物","該当","","","該当","","","第1種","","","第一種","劇物","第4類 特殊引火物","","VOC","","","該当","","内蔵"
"67-64-1","アセトン","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 水溶性","","VOC","","","","","内蔵"
"78-83-1","イソブチルアルコール","対象物","該当","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"67-63-0","イソプロピルアルコール","対象物","","","","該当","","","第2種","","","","","第4類 アルコール類","","VOC","","","","2-プロパノール／IPA","内蔵"
"123-51-3","イソペンチルアルコール","対象物","該当","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","イソアミルアルコール","内蔵"
"60-29-7","エチルエーテル","対象物","","","","該当","","","第2種","","","","","第4類 特殊引火物","","VOC","","","","ジエチルエーテル","内蔵"
"110-80-5","エチレングリコールモノエチルエーテル","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第2石油類 水溶性","","VOC","","","該当","セロソルブ","内蔵"
"111-15-9","エチレングリコールモノエチルエーテルアセテート","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第2石油類 水溶性","","VOC","","","該当","セロソルブアセテート","内蔵"
"111-76-2","エチレングリコールモノ-ノルマル-ブチルエーテル","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第3石油類 水溶性","","VOC","","","","ブチルセロソルブ","内蔵"
"109-86-4","エチレングリコールモノメチルエーテル","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第2石油類 水溶性","","VOC","","","該当","メチルセロソルブ","内蔵"
"95-50-1","オルト-ジクロロベンゼン","対象物","該当","","","","","","第2種","","","第一種","","第4類 第3石油類 非水溶性","","VOC","","","","","内蔵"
"1330-20-7","キシレン","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第2石油類 非水溶性","","VOC/有害大気","","","該当","","内蔵"
"1319-77-3","クレゾール","対象物","該当","","","","","","第2種","","","第一種","劇物","第4類 第3石油類 非水溶性","","","","","","","内蔵"
"108-90-7","クロロベンゼン","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"110-19-0","酢酸イソブチル","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"108-21-4","酢酸イソプロピル","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"123-92-2","酢酸イソペンチル","対象物","","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","酢酸イソアミル","内蔵"
"141-78-6","酢酸エチル","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"123-86-4","酢酸ノルマル-ブチル","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"109-60-4","酢酸ノルマル-プロピル","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"628-63-7","酢酸ノルマル-ペンチル","対象物","","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","酢酸ノルマル-アミル","内蔵"
"79-20-9","酢酸メチル","対象物","","","","該当","","","第2種","","","","","第4類 第1石油類 水溶性","","VOC","","","","","内蔵"
"108-93-0","シクロヘキサノール","対象物","該当","","","該当","","","第2種","","","","","第4類 第3石油類 非水溶性","","VOC","","","","","内蔵"
"108-94-1","シクロヘキサノン","対象物","該当","","","","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"68-12-2","N,N-ジメチルホルムアミド","対象物","該当","","","","","","第2種","","","第一種","","第4類 第2石油類 水溶性","","VOC","","","該当","","内蔵"
"109-99-9","テトラヒドロフラン","対象物","該当","","","","","","第2種","","","要確認","","第4類 第1石油類 水溶性","","VOC","","","","","内蔵"
"71-55-6","1,1,1-トリクロロエタン","対象物","該当","該当","","","","","第2種","","","第一種","","","","有害大気","該当","該当","","オゾン層保護法の特定物質","内蔵"
"108-88-3","トルエン","対象物","該当","","","該当","","","第2種","","","第一種","劇物","第4類 第1石油類 非水溶性","","VOC/有害大気","","","該当","","内蔵"
"110-54-3","ノルマルヘキサン","対象物","該当","","","該当","","","第2種","","","第一種","","第4類 第1石油類 非水溶性","","VOC","","","該当","末梢神経障害","内蔵"
"71-36-3","1-ブタノール","対象物","該当","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","炭素数4のためアルコール類に該当しない","内蔵"
"78-92-2","2-ブタノール","対象物","該当","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"67-56-1","メタノール","対象物","該当","","","該当","","","第2種","","","","劇物","第4類 アルコール類","","VOC","","","該当","","内蔵"
"78-93-3","メチルエチルケトン","対象物","該当","","","該当","","","第2種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","消防法上は非水溶性区分","内蔵"
"25639-42-3","メチルシクロヘキサノール","対象物","該当","","","","","","第2種","","","","","第4類 第3石油類 非水溶性","","VOC","","","","","内蔵"
"1331-22-2","メチルシクロヘキサノン","対象物","該当","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"591-78-6","メチル-ノルマル-ブチルケトン","対象物","該当","","","該当","","","第2種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","2-ヘキサノン","内蔵"
"-","ガソリン","対象物","","","","","","","第3種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","ベンゼン含有により特化則の適用を要確認","内蔵"
"-","コールタールナフサ","対象物","","","","","","","第3種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"8032-32-4","石油エーテル","対象物","","","","該当","","","第3種","","","","","第4類 特殊引火物","","VOC","","","","","内蔵"
"-","石油ナフサ","対象物","","","","","","","第3種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"-","石油ベンジン","対象物","","","","","","","第3種","","","","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"8006-64-2","テレビン油","対象物","該当","","","該当","","","第3種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"8052-41-3","ミネラルスピリット","対象物","","","","","","","第3種","","","","","第4類 第2石油類 非水溶性","","VOC","","","","ホワイトスピリット／ミネラルシンナー","内蔵"
"91-94-1","ジクロロベンジジン及びその塩","対象物","該当","該当","","","第1類","該当","","","","特定第一種","劇物","","","","","","該当","製造許可が必要","内蔵"
"134-32-7","アルファ-ナフチルアミン及びその塩","対象物","該当","該当","","","第1類","該当","","","","","劇物","","","","","","","製造許可が必要","内蔵"
"1336-36-3","塩素化ビフェニル","対象物","該当","該当","","","第1類","","","","","特定第一種","","","第一種特定","","該当","","該当","PCB。PCB特別措置法の対象。製造許可が必要","内蔵"
"119-93-7","オルト-トリジン及びその塩","対象物","該当","該当","","","第1類","該当","","","","","劇物","","","","","","","製造許可が必要","内蔵"
"119-90-4","ジアニシジン及びその塩","対象物","該当","該当","","","第1類","該当","","","","特定第一種","劇物","","","","","","","製造許可が必要","内蔵"
"7440-41-7","ベリリウム及びその化合物","対象物","該当","該当","","","第1類","該当","","","","特定第一種","毒物","","","","","","該当","製造許可が必要","内蔵"
"98-07-7","ベンゾトリクロリド","対象物","","該当","","","第1類","該当","","","","特定第一種","劇物","","","","","","","製造許可が必要","内蔵"
"100-41-4","エチルベンゼン","対象物","該当","該当","","該当","第2類","該当","","","","第一種","","第4類 第1石油類 非水溶性","","VOC/有害大気","","","該当","塗装業務で特化則を適用。特別有機溶剤","内蔵"
"67-66-3","クロロホルム","対象物","該当","該当","","","第2類","該当","","","","第一種","劇物","","","有害大気","該当","該当","該当","特別有機溶剤","内蔵"
"56-23-5","四塩化炭素","対象物","該当","該当","","","第2類","該当","","","","第一種","劇物","","","有害大気","該当","該当","該当","特別有機溶剤。オゾン層保護法の特定物質","内蔵"
